,"XM_008378954,1","XM_008358718,1","XM_008339015,1","XM_008378862,1","XM_008381409,1","XM_008372268,1","XM_008357852,1","XM_008395865,1","XM_008347928,1","XM_008352752,1","XM_008390007,1","XM_008346127,1","XM_008391412,1","XM_008375822,1","XM_008342092,1","XM_008346561,1","XM_008392658,1","XM_008340249,1","XM_008357031,1","XM_008342489,1","XM_008365736,1","XM_008353259,1","XM_008392645,1","XM_008346577,1","XM_008392118,1","XM_008388475,1","XM_008353031,1","XM_008359318,1","XM_008392497,1","XM_008389619,1","XM_008340728,1","XM_008341644,1","XM_008352864,1","XM_008353321,1","XM_008358077,1","XM_008339343,1","XM_008358066,1","XM_008390606,1","XM_008360876,1","XM_008348542,1","XM_008377120,1","XM_008375192,1","XM_008379224,1","XM_008382874,1","XM_008351661,1","XM_008364214,1","XM_008395973,1","XM_008395429,1","XM_008341462,1","XM_008361055,1","XM_008367891,1","XM_008364242,1","XM_008371859,1","XM_008373586,1","XM_008366883,1","XM_008349204,1","XM_008343281,1","XM_008352749,1","JN381497,1","XM_008375404,1","XM_008349498,1","XM_008356729,1","XM_008385618,1","XM_008348256,1","XM_008368498,1","XM_008346417,1","XM_008392579,1","XM_008375174,1","XM_008372502,1","XM_008375050,1","XM_008344638,1","XM_008380349,1","XM_008382862,1","XM_008366401,1","XM_008370181,1","XM_008382964,1","XM_008351730,1","XM_008388172,1","XM_008348226,1","XM_008393407,1","XM_008352977,1","XM_008357035,1","XM_008366899,1","XM_008369353,1","XM_008346320,1","XM_008377122,1","XM_008370383,1","XM_008378026,1","XM_008348634,1","XM_008386805,1","XM_008387564,1"
"XM_008378954,1",1.0,-0.4010771194012846,0.08328094924365839,0.48043049923847103,0.41901652703017983,-0.4735744773403244,0.67917230875606,-0.2531368949553419,0.01419128913199379,-0.05999755639981628,0.13195941637984449,0.6570504256351053,0.727199593605996,-0.318788467026909,0.2509181335127181,0.49503075677642233,-0.6171252735202187,0.515048569087217,0.8071660854644058,0.7772271895521584,0.5652624720081003,0.23119590851932104,-0.8691116234659696,-0.14133829985801907,0.2073004272511089,0.5846796385512352,-0.5292936398080184,0.6052868195697375,-0.6189024955399379,0.6693211274806576,0.06373493826944161,0.29040710970073735,0.2895128833541365,-0.7115431431020578,-0.8091788718362961,-0.6403827074664491,-0.34002557395344957,-0.3666093209280856,0.4548234481215355,0.5865347769572952,0.5662083797994966,-0.4512685329645875,0.0571738888697733,0.7879296958431815,0.8195690727343883,-0.020882308831432793,0.5453827146544808,0.4466396120828469,-0.9056895602952743,0.8451676146081861,-0.7852596104868066,-0.8356449383366867,0.14837133232894936,-0.7788705096380559,0.5533920692296203,-0.6346167568687576,-0.8602361456841718,0.5545882962578601,0.5981497506434906,-0.8429475294774967,0.7740952308480404,-0.51227122999902,0.8672776119473877,0.9674211734194396,-0.29688260325947846,0.03853563650212555,0.40228088020401703,-0.6529025371153494,0.2819398015521803,0.7463713954456282,0.2491376381154742,-0.8251306295642439,-0.21386871453591097,-0.40802828902226496,0.8543533025020947,0.5020151787779413,0.311097910870255,-0.6168394663911636,-0.5925592868268014,0.6406663309752524,0.33469518858880665,-0.8410380526814124,-0.1431391018602781,-0.146377401328373,-0.08387849261953027,0.6402711872210871,0.41461456640477995,0.0011153935782575845,0.476510031364025,-0.3186495979959698,-0.5954729780684909
"XM_008358718,1",-0.4010771194012846,1.0,-0.7006659958021881,-0.849563779947295,-0.9893696201742733,-0.03044608720162878,-0.2400419264187086,0.8909275572691115,0.1251081549725626,0.9174343229004234,-0.9111909276864945,-0.6776258397977758,0.298289856683236,0.9801640826728114,-0.9209493882934947,0.5284298746489791,0.9545020508821369,-0.8371931700256172,-0.7269411993511036,-0.19000728864917701,-0.8339485902585563,0.7562286357284652,0.37808362444856064,-0.2099551051815171,0.7876687823035339,0.42770539573374705,-0.47672774469515306,-0.9154873124117479,0.6987228665385182,0.02743744475957914,0.2047368054946951,-0.9818260311082372,0.18378156646933969,0.7664266654835467,0.642083207962329,0.26566866567350883,-0.36983203978217444,0.9359913950385454,-0.7388319892128484,-0.892616713036025,-0.6376914568915093,-0.4023480142685288,-0.2985874169630694,-0.4764499016238433,0.16501549798508774,-0.3572848186797667,-0.22910475487719403,-0.798111607455231,0.6216646152045547,-0.46237629394515767,0.7592533857014712,0.10888115619721751,0.5493262817326834,0.03543898961817009,0.04926944482099854,0.5609682246768662,0.24715694241622205,0.4770569328901033,0.10998292325696843,0.6130854363328883,-0.8358164776970013,-0.19753396149687188,-0.46315048912581486,-0.2572932982642708,0.6157471633046908,0.35584750403278315,-0.8858935381381201,0.9064819124230894,-0.21094081360359915,-0.7115659063001988,-0.9187979251558223,0.7040530863703304,0.8468101591949904,-0.07616327036179961,-0.7164640796491758,0.15135297269812586,-0.9767620610142908,0.2839189375787901,-0.42026715350023486,-0.5664835376655052,-0.9427475685138433,0.3336915962299969,0.8229366803523179,-0.5137607263825641,0.8781774098457641,-0.5883299879521675,0.08268196556432408,0.8167326640219982,-0.6640395520044265,-0.12871969148081666,0.79199813272942
"XM_008339015,1",0.08328094924365839,-0.7006659958021881,1.0,0.21926612472564555,0.6267023674579776,0.7119235860999343,-0.4667575414530991,-0.3582510742975718,-0.5120600759721154,-0.7890242723659473,0.4790515201732025,-0.014015509089249457,-0.5119695834260855,-0.6201613415363999,0.9171072559516661,-0.3161251769703953,-0.509472211948912,0.27138811900227927,0.13248325062801627,-0.43629928653520283,0.19965995889756305,-0.804324431611908,0.04286952109997445,-0.3575764558287488,-0.6962745010091346,-0.663744648577282,0.7432762768054954,0.3957825435359172,-0.006566259576619781,-0.6316578234669123,-0.834259896807631,0.7287689572039072,-0.37228764603003495,-0.5755942446422935,-0.011782270673060131,-0.03639558548454297,0.7729346122228633,-0.8844503671913012,0.6584918910763448,0.32867667359657543,-0.0682014515444165,0.032704979331234604,-0.30395330208924176,0.554560543731035,-0.23989870804926963,0.425239382146355,-0.4735706027702267,0.7879034584231869,-0.06759996975254629,-0.14465571804737565,-0.2276738437110478,-0.08004490085379558,-0.3668209383078533,0.3848050140607713,-0.35575364178188174,0.15390538831419148,0.3281897797489397,-0.3063233012586056,-0.5414440531546805,-0.01218506527966093,0.4871405434000157,0.7781380785402193,-0.10498557101701082,-0.10411108886869752,-0.21984575316605276,0.28167317436648975,0.42135783273409305,-0.7574954882972561,-0.39196059018185053,0.10230611594796687,0.4437875499976156,-0.18722346083223318,-0.3415493805010096,0.5749230721701633,0.2114605793435658,-0.593915396023828,0.6366275182684773,0.206077234390473,0.7155817281532586,-0.145319715198257,0.48960616886307035,0.2990643453661437,-0.26740256395616624,0.9457977808910131,-0.8448276914215916,-0.13228782260639182,-0.5403829146024239,-0.8399977777557411,0.15499968022746996,-0.13946383390553888,-0.17467220831439195
"XM_008378862,1",0.48043049923847103,-0.849563779947295,0.21926612472564555,1.0,0.8872449253324614,-0.4821131350967994,0.6710995579133098,-0.9573675882508077,0.22524063618826584,-0.6775427101710009,0.8959073880244978,0.9318777715490139,-0.0397300420438758,-0.8798509523864801,0.5835068023157141,-0.4980720778365378,-0.9273292723196782,0.9366590587292265,0.895420021117464,0.5745368171831842,0.9935008909339687,-0.4477032416138847,-0.533686361736392,0.5443025601107205,-0.5714514191134433,-0.10500528909573205,0.11123069949985237,0.9551964906093079,-0.9457269865322965,0.4269920959062787,0.3366282205671752,0.8079956649749217,0.0024304994486073414,-0.6284164626131005,-0.8628033386377623,-0.3155144128602518,-0.05225307237602276,-0.6281343777628653,0.508823214736564,0.9740266880171755,0.9160172111424464,0.5369862545055112,0.6469562458212675,0.23041228697104438,-0.05866848105222583,0.19477286070317115,0.6542690417116354,0.49754471324125427,-0.7965677684652166,0.7297930523330246,-0.8610014301619257,-0.07427345799793872,-0.49886892681187994,-0.31809937045464126,0.17568014222361159,-0.8836493139039955,-0.5721323444462925,-0.43530766018063505,0.23400426977109343,-0.8295340040621054,0.7736023401264905,-0.30068181718220394,0.700377051540358,0.41857054804471333,-0.6636749716515186,-0.6900692939937844,0.9082060149004201,-0.6768143885935279,0.59154554476437,0.900077409470296,0.9263704900858617,-0.814294221479795,-0.9139299941502297,-0.3321841344184599,0.8244044719658049,0.21610204386664486,0.8622170213424936,-0.5229078890101192,0.04920879954864078,0.8752815003387988,0.9323744360998186,-0.6740206447072311,-0.9277403279210846,0.009292621363078377,-0.5843669550423374,0.8970851051621738,0.29858111623206385,-0.4902077030049446,0.7794133208696771,0.265782594181511,-0.9469661454016643
"XM_008381409,1",0.41901652703017983,-0.9893696201742733,0.6267023674579776,0.8872449253324614,1.0,-0.06046267461659249,0.3137354041213603,-0.9056218967974579,-0.15547481411073208,-0.8693413231086166,0.9155799313305094,0.7496702656814939,-0.23865839877735032,-0.9936338337195787,0.8667215501713845,-0.5176634351512311,-0.9633928321786771,0.9044245977171192,0.7536192102481291,0.2777106264685905,0.8669208635546556,-0.6920697374627839,-0.46155716700865707,0.3282773228110005,-0.737130710282596,-0.35100317984279905,0.40151265573490624,0.9515543148040515,-0.7708125078484116,0.042359018602503844,-0.10823770737245633,0.9496683167183348,-0.05437410604684571,-0.7040229822932085,-0.7063762453924105,-0.3657097330708791,0.24604720978286526,-0.8831495075937328,0.7780670778302179,0.9342844852110169,0.7241514962337496,0.4076456469373192,0.302261440915485,0.46797045682479044,-0.1343257850235247,0.23132847061455805,0.3440432996070087,0.8085276069180242,-0.6560111976333943,0.5426862768549463,-0.818558407720649,-0.14838429695698283,-0.4677997746926292,-0.1340740200522486,0.07237433086559192,-0.6014407736070728,-0.3247491586845621,-0.4636205764088103,0.009144835152899931,-0.6385320122468073,0.8677822435877651,0.10767205739417865,0.5425656124736683,0.3073250218577012,-0.7183167266244098,-0.46232942895254286,0.8615531405894806,-0.87985875891817,0.2102585661205382,0.726646220849242,0.9541921805931803,-0.7669830682808173,-0.8377928071046392,0.07769619759780955,0.7196276593535577,-0.02401612363514916,0.9919351192079422,-0.40619208122317507,0.3727129389213516,0.6546671860863262,0.9338426712477448,-0.3916582697923766,-0.8679167772448095,0.40964562954532624,-0.807535034468943,0.6691020429814745,-0.09457560547214865,-0.8137136044131674,0.7639571143769858,0.24614831877325954,-0.8614034835295357
"XM_008372268,1",-0.4735744773403244,-0.03044608720162878,0.7119235860999343,-0.4821131350967994,-0.06046267461659249,1.0,-0.9494317744463143,0.2732057671477608,-0.5410876399599575,-0.30023150979490054,-0.10327372899376895,-0.7000523394805381,-0.6304228396407686,0.03356251704151338,0.4014717624720365,-0.15215039850903528,0.23615503498975013,-0.42226053983501544,-0.5930082057270726,-0.9055832417532487,-0.5187536392263308,-0.5199433642220037,0.5822330700184655,-0.5638241754529701,-0.3559961757122758,-0.6854178550196841,0.7320912725631692,-0.3477157765202316,0.6789757512055256,-0.9569639594323622,-0.9088068197866364,0.11214086518757184,-0.42342275598957874,0.0386531877474126,0.6853836562560365,0.34034379472080944,0.7967224445601742,-0.3172348330802326,0.1452644872018768,-0.40914982268109396,-0.7136956608264396,-0.12043161725671989,-0.6054581502786331,0.11596300501254242,-0.41446035415470706,0.2867474677940704,-0.9163147569396937,0.2675240645417982,0.6262513736821694,-0.7608971104527068,0.496431483661399,0.22301787886896463,-0.10833215488222446,0.7328203219936769,-0.5742985316269782,0.7784857346750012,0.8361742763280061,-0.19432418701954504,-0.7717619395778377,0.6693686777755792,-0.22581341033793206,0.9723900370744368,-0.7188427213233498,-0.5951954322870437,0.26815818838374356,0.6032919751062096,-0.23018846008351998,-0.0973897069778976,-0.7145827693904665,-0.6004313459400975,-0.1891090173457322,0.5183623732953185,0.2481903127217869,0.7694506998699714,-0.49912823689132174,-0.7800571333495463,-0.008840503153186977,0.6476796690550282,0.7535700588885841,-0.7789360479132404,-0.1694326125967931,0.8548232919127421,0.3081137225796242,0.848528718318373,-0.3928209012342173,-0.7776521002510757,-0.7229759023442999,-0.44777686633065666,-0.4337384751874663,-0.18617594581299574,0.5320723664107895
"XM_008357852,1",0.67917230875606,-0.2400419264187086,-0.4667575414530991,0.6710995579133098,0.3137354041213603,-0.9494317744463143,1.0,-0.4588513232754999,0.4910206334841333,0.06452971395125906,0.29057564932603963,0.8518166588328253,0.6195424215087515,-0.26810883497790544,-0.11996134016198408,0.12030813385229494,-0.5042742132202163,0.604696954198236,0.8127823916192599,0.9602593958150584,0.7191540532184588,0.3403748205292668,-0.7177709851964897,0.4722909546240041,0.18656571214180326,0.6112983539372843,-0.6357450456820153,0.5831941847866107,-0.8297458545916012,0.9559000815673397,0.7570245834648147,0.1530489644176785,0.33826296012091644,-0.34014147345885803,-0.862378875582607,-0.42518094354291297,-0.6572179433077958,0.02000118649174874,0.0684069558468838,0.6290381464900886,0.8332424927206031,0.10531862881935908,0.621466470301381,0.1283489704811946,0.47794564017835806,-0.13382019619939312,0.9226769779511692,-0.019145036151392916,-0.836587498115595,0.8954012887985013,-0.7096584976865178,-0.3529581062292543,-0.02150482155689718,-0.7666469947551046,0.5531932737052508,-0.9137365221918871,-0.9273278875778328,0.17803277910530682,0.7320879797081347,-0.8680308040973753,0.4878904642556317,-0.8994151190444053,0.861293844537389,0.7410573972975147,-0.36404535254016857,-0.5607417564564168,0.4647716566981379,-0.21332306736927265,0.7468069885625378,0.8118732122203295,0.3756258103504197,-0.7243947797099191,-0.4326666649778714,-0.7648563545045113,0.7449725171642517,0.7105807715795593,0.24252042056786108,-0.6953394649208621,-0.6916754472547839,0.891767184437311,0.40001266133389257,-0.9677348240488799,-0.44289135783213285,-0.6531072797886561,0.14128337212956793,0.8985137853728904,0.7274124155492856,0.2532778879626351,0.5584456637172132,0.0790557183761068,-0.7099625393148356
"XM_008395865,1",-0.2531368949553419,0.8909275572691115,-0.3582510742975718,-0.9573675882508077,-0.9056218967974579,0.2732057671477608,-0.4588513232754999,1.0,-0.21920817696826275,0.8283636961293526,-0.9830956711079266,-0.7907467318144952,0.3248775498202836,0.9216435721124515,-0.690328415853602,0.7118501011446122,0.8875934041245725,-0.8623246851588684,-0.7562283794866159,-0.31980932415555846,-0.9293044632556634,0.6675694389857063,0.28824275132280325,-0.5165547990983347,0.7772345948365967,0.3837975377237099,-0.38176127432627405,-0.8917726774567479,0.8178272070717287,-0.18294625357410682,-0.2086520627605785,-0.8928611335709742,0.19983060233440786,0.5925257378026488,0.6825111739705428,0.10581083478560648,-0.1899864928696778,0.7044199033740742,-0.46473084507569523,-0.907451814485964,-0.7825410121234789,-0.7063378664309209,-0.6626464428482753,-0.0966497895138427,0.32558682306348996,-0.3459865511483755,-0.44598434982250434,-0.48657780712510174,0.6107262590275485,-0.5023198555531186,0.709444646055392,-0.16276345890396954,0.6754419975941726,0.03574913134963962,0.07376229447501495,0.754323261569535,0.31179025648274244,0.6601636868546936,0.036439451113962476,0.6649887583713319,-0.659237559908767,0.05950073879386676,-0.4683961714497007,-0.15476927942307817,0.592237296224898,0.6636401246217285,-0.9399982449122884,0.6514173303797658,-0.5375649513024621,-0.7831741652596286,-0.9598746164206442,0.6416149636794108,0.9784904503490385,0.20498999407849836,-0.6897924264883257,0.0408728192633225,-0.9046436058376035,0.30158494440883205,-0.30859046595508205,-0.7101626180238033,-0.9793723386027664,0.4448903444281493,0.9672701808354838,-0.20675383436264147,0.7411892887314284,-0.7405521379393335,-0.17695242600856037,0.6120786043727048,-0.6670865710815125,-0.27914433045327297,0.8421091124456982
"XM_008347928,1",0.01419128913199379,0.1251081549725626,-0.5120600759721154,0.22524063618826584,-0.15547481411073208,-0.5410876399599575,0.4910206334841333,-0.21920817696826275,1.0,0.05962037738072272,0.11529494197520238,0.18207176906616881,0.05043302898273906,0.15750367791092712,-0.27687244319247195,-0.1855109804091343,0.002582973484867957,-0.09753187099665264,0.2666747550221018,0.26366907457681577,0.26222461403193514,0.10994549789893664,0.22264364177869828,0.07950335026069559,-0.022479541684940943,0.08214691989235182,-0.19049467163644412,-0.029828920901212662,-0.17469671392803052,0.514915347319671,0.593180485716879,-0.02698440085496858,-0.49211169938148386,-0.14931161697871587,-0.1240724274920543,0.5738518802613638,-0.05548769998354529,0.2292342113098869,-0.7064171917065574,0.029759136238280002,0.1485352521001548,0.436686068183976,0.8578666806210686,-0.5356276720268616,-0.10370245756844111,0.5249498825732051,0.22251828171902416,-0.6697646439323675,-0.19428280307378853,0.08481252861060865,0.09578038170248925,0.4378650905600224,-0.5582845517930031,0.08351427793036639,-0.35773162203978726,-0.5295191398740813,-0.18975884564939746,-0.1734067095315619,-0.07899720974900225,-0.35833497527791014,-0.2858355341881423,-0.47191623601046784,0.01620798827495313,-0.02971696130318926,0.4691991974821909,-0.17426495185739632,0.3490252375658336,0.26408296332523695,0.9114557287089731,0.39576690860937325,-0.049700562264533524,0.11730763328192587,-0.37279493915637346,-0.9018711252796203,0.26895806565813707,-0.07269229177824933,-0.20205146673429275,0.2648551526710651,-0.3889139089330399,0.18310153535125737,0.19220660229957598,-0.37690758606207875,-0.11171446019307177,-0.37626641780058145,0.05096275927368841,0.23659405755887167,0.903526420033474,0.5745587376565456,-0.30724052129753177,-0.374122973039301,0.0018240035451834947
"XM_008352752,1",-0.05999755639981628,0.9174343229004234,-0.7890242723659473,-0.6775427101710009,-0.8693413231086166,-0.30023150979490054,0.06452971395125906,0.8283636961293526,0.05962037738072272,1.0,-0.9009136912095222,-0.3901127760679169,0.6343462045528766,0.8889603313855715,-0.9419752185925061,0.7348898889972072,0.7747014866807245,-0.6009651292494012,-0.4585102974384936,0.1762458576887486,-0.6410037558270488,0.9502278594549683,-0.020875544436909147,-0.10016622702520142,0.9599444643301976,0.7447220201461605,-0.7717070711179886,-0.6987100366225242,0.4244081100738182,0.33303172151874866,0.3515950302755746,-0.9689249532978986,0.48625681556703576,0.6536926566107081,0.31177214204741127,-0.09655243205589985,-0.6708728879796433,0.9187717628696612,-0.5387866548207892,-0.6751435610455808,-0.35726391084852555,-0.5746145612680121,-0.31378659934958414,-0.22850125399591578,0.49043192367469995,-0.573607203399208,0.09852511300210498,-0.6451208891837769,0.3031729236362047,-0.0890630810261784,0.44151593219941937,-0.23426063437789704,0.7537186930136257,-0.3641146321611049,0.41871589813422944,0.33216935327082037,-0.1324499100105091,0.7046498028084306,0.48416799818668077,0.33296178540011057,-0.5574243054037871,-0.4875163908296722,-0.08158979846432617,0.1255194103413077,0.3811963144563113,0.23751407223623822,-0.8330706857654026,0.7547952909922594,-0.1559441056479352,-0.48328462424342317,-0.8207050645866759,0.3650694885198886,0.834055946399392,-0.18348044939013172,-0.46532832882946545,0.5066817476184509,-0.884132837927827,-0.09131838202938324,-0.6884650640673979,-0.2571896992603272,-0.8877109084028857,-0.0023089807733641405,0.7478551258391368,-0.7180373681262646,0.9834755137615412,-0.2922474008362976,0.17771714671367764,0.8352178079407014,-0.3807251600201797,-0.06126911862325655,0.5272793517513982
