,"XM_008378954,1","XM_008358718,1","NM_001293983,1","XM_008339015,1","XM_008378862,1","XM_008381409,1","XM_008372268,1","XM_008357852,1","XM_008347563,1","XM_008395865,1","XM_008347928,1","XM_008352752,1","XM_008390007,1","XM_008346127,1","XM_008391412,1","XM_008375822,1","XM_008342092,1","XM_008346561,1","XM_008392658,1","XM_008340249,1","XM_008357031,1","XM_008342489,1","XM_008365736,1","XM_008353259,1","XM_008385535,1","XM_008392645,1","XM_008346577,1","XM_008392118,1","XM_008388475,1","XM_008353031,1","XM_008359318,1","XM_008392497,1","XM_008389619,1","XM_008340728,1","XM_008341644,1","XM_008352864,1","XM_008353321,1","XM_008358077,1","XM_008339343,1","XM_008358066,1","XM_008390606,1","XM_008360876,1","XM_008348542,1","XM_008377120,1","XM_008375192,1","XM_008379224,1","XM_008351661,1","XM_008364214,1","XM_008395973,1","XM_008395429,1","XM_008341462,1","XM_008361055,1","XM_008367891,1","XM_008364242,1","XM_008371859,1","XM_008373586,1","XM_008366883,1","XM_008349204,1","XM_008343281,1","XM_008352749,1","JN381497,1","XM_008375404,1","XM_008349498,1","XM_008356729,1","XM_008385618,1","XM_008348256,1","XM_008368498,1","XM_008346417,1","XM_008392579,1","XM_008375174,1","XM_008372502,1","XM_008375050,1","XM_008344638,1","XM_008392222,1","XM_008380349,1","XM_008382862,1","XM_008366401,1","XM_008370181,1","XM_008382964,1","XM_008351730,1","XM_008388172,1","XM_008348226,1","XM_008393407,1","XM_008352977,1","XM_008357035,1","XM_008369353,1","XM_008346320,1","XM_008377122,1","XM_008370383,1","XM_008348634,1","XM_008386805,1","XM_008387564,1","XM_008366364,1"
"XM_008378954,1",1.0,0.02340460169360791,0.445564968334701,0.9717961740186352,-0.7390284499689826,0.7739033025516078,-0.6047487070085511,-0.8828270072958603,0.3435487820568397,-0.6151413264975325,0.8541323719939256,0.01181037332658135,0.6089503473340732,-0.026784950750518816,-0.45261609730041996,-0.2374559103731501,-0.667308311613293,-0.6144870693771611,-0.7510539627406237,0.3125028163081686,-0.08738956317971609,-0.645319687782735,-0.542358772964077,-0.6009518702848046,0.047083711592620654,-0.9241380092779476,0.8902323287481927,-0.5200048229130653,0.07964000617314898,0.9169758108656121,0.9501686966575522,0.7701354115297306,0.7222331024945071,0.7909344213042795,0.4660680003650131,0.12239861818354748,-0.6909119438961736,0.7851707203860152,0.9399846891068779,0.6766925195861084,0.3600582088538251,-0.018287177171050266,-0.07412207479970864,0.56484653184658,-0.11410139633113527,-0.4325733786762654,-0.8450411832944891,0.3276941092235651,-0.003373804569985243,0.8776301118070396,-0.9646380560571748,-0.3565385289222005,-0.5546130305726003,-0.4890055287484777,0.7438253137488179,0.8606622757189175,-0.5183213088713943,0.6199396481320145,-0.875160606765923,0.8093358486390755,-0.6628031480849276,0.6268995668205973,0.12253991752593384,-0.5314778965858734,-0.6869509405591658,0.9149088316941004,-0.6628700709702502,-0.4380460045945951,-0.45998410757606173,-0.2144709941450227,0.7507556035220637,-0.6882626562118991,-0.4270237148526385,0.445564968334701,-0.9528665354341413,-0.44032673532363065,-0.3018557968127024,-0.1874293852053701,-0.6507789614121143,-0.7035350385743521,0.4800117381928897,-0.9692694892949716,0.7561517351824311,-0.5550170407828291,0.6857577414583002,0.417918261288569,-0.7197312432747999,0.580857787410517,-0.7054212243901695,0.18907214938220573,-0.08726520961614581,0.300213164941745,0.6612087629241702
"XM_008358718,1",0.02340460169360791,1.0,0.05637203513749923,-0.08751520630527845,0.10904420915555897,-0.10967412249863542,0.6203663783615982,-0.1436753290339897,0.8459638060481399,-0.7677632158157766,0.2764095087803513,-0.4067906182212414,0.3452626979999933,-0.8110363333759679,0.36398234499286053,0.9265715714682118,-0.21264047400034872,0.35831592148992786,-0.45030227012372187,-0.42212686948397116,-0.6069971062988829,-0.5353012567387705,-0.7856522584609382,-0.44420734408042056,-0.5589691775706813,-0.16363304514296115,0.11628401718855567,-0.2638739773088483,0.3136018590813339,0.08755292124743642,-0.20672815738757783,0.5471796577777438,0.4194100098931401,0.6195803761299764,0.17727305620416636,-0.1764782485716338,-0.1395441976174232,0.4642165866586626,0.20369889964138943,-0.2399379751603392,0.45611958179979656,0.0750686783759665,-0.9668332247775627,-0.7530624863311552,-0.2596759328138045,0.24586359711183092,0.18963957483770472,0.3710138067013356,0.9426747922163429,0.10622631551676831,-0.03917508731026639,-0.8899924467524474,0.2520436876018399,0.7056152745668526,-0.13212760932121032,0.35372960552259,-0.010779584283511827,0.4973081712530895,-0.25677613225602136,0.4495913087255241,-0.6044241843529503,0.6148477163037612,-0.3564619722617507,-0.38586168953954697,-0.2976128556401642,-0.026613556836837013,0.7074895729651632,0.6375476226507747,0.14113723463289604,-0.7097377584305249,-0.1515629995313395,-0.48450239896184777,-0.3438886505365594,0.05637203513749923,0.10244558534411462,-0.5399092090386741,0.14224219176829345,-0.8309951240412701,0.6787136994641639,-0.5101492320529298,0.3943033011929826,-0.15423103019487183,0.49890495843074234,-0.3475939299948967,0.4440650372688184,-0.2698211080921951,0.25743207847972693,-0.7552606844195119,0.10673181547713996,0.7196656611712297,0.26790362655965977,0.7931884850027221,-0.04365943495842626
"NM_001293983,1",0.445564968334701,0.05637203513749923,1.0,0.3910885600670905,-0.8588379931319329,-0.1296065484330277,-0.4682432820584427,-0.7830271501601505,0.20000159999520006,-0.49139023149838895,0.7670052107864432,-0.14497306252676923,0.2569462248101013,0.28771849454938425,-0.5032654130577612,-0.06859757857846278,-0.8351341257739084,-0.5036018467940773,0.023148724972616722,0.8188994406595965,-0.09350499459570334,0.04121883296650184,-0.3768449195347993,-0.426279087895127,-0.19999999999999987,-0.6968633675707775,0.1158617332109334,-0.8171881159930592,-0.11023209637097918,0.7521516190339701,0.4667910254104224,0.4924521287403076,0.6690838199976563,0.34180406975266736,-0.557592970244684,0.5501474943926881,-0.038355193555778884,0.6853806361574374,0.3344091097385686,0.5935865796913419,0.6947898834964857,-0.04572939386267973,-0.03839146362639444,0.1108830282094418,-0.31243681468829804,-0.7001091815035919,-0.728079117152048,0.7523767913582168,-0.1680651910946164,0.7616375825801651,-0.6235134299689454,-0.11445412453270558,-0.718329721514241,-0.08178157677108289,0.8424767301987947,0.6699955420489071,-0.6620950398045524,0.5057958377848863,-0.7588605467893943,0.5442058696715226,-0.6524246295419511,0.3434726631240153,0.30755601129778054,0.3274518766613021,-0.794881570341209,0.15527510485491064,-0.340998551739795,-0.683314734555692,-0.4840431363076764,0.2342235163287727,-0.0053516507858978905,-0.12973562678929104,-0.7866531961487181,1.0,-0.6185940158753642,-0.7615991226383153,-0.8205666071490346,-0.1473195937508794,-0.49293085494536404,-0.746318407380224,0.8485514871799799,-0.4828713049168577,0.6852740201799296,-0.9392575581173825,0.74562607150952,0.7077829117146314,-0.6441907201265017,0.3889723902487878,-0.8136225698271816,-0.05988179124062274,-0.31622776601683783,0.016769490247129825,-0.19999999999999943
"XM_008339015,1",0.9717961740186352,-0.08751520630527845,0.3910885600670905,1.0,-0.745776520491387,0.7207012640453162,-0.5840988817720449,-0.8562555779770028,0.2456782985051253,-0.4862340972804292,0.761293594387846,-0.09197190154052337,0.4199840591676715,0.11396248394621437,-0.5514323718508108,-0.3624142888829376,-0.6709687121409686,-0.549890413084812,-0.6962524313783307,0.27635821709441916,-0.03597364454673118,-0.5667642025726518,-0.38862966705432417,-0.3969310791166544,-0.034298026610462606,-0.8893345503687621,0.8128802969826389,-0.42438825020260584,0.14485457685147593,0.8765681072537389,0.9693573662350049,0.6649979711190168,0.5586985429150343,0.6904537234512775,0.47358552121428815,0.22959677516127297,-0.6784196256448688,0.7071229604858454,0.9480607262139336,0.6538563438836028,0.3826518408908204,0.15126799269025476,0.05927642644202482,0.6642177118281022,0.10117802607417928,-0.5104275803993992,-0.8664355932240596,0.13550757908078465,-0.13782132170128694,0.87024577491912,-0.9464081536264112,-0.21368933211702942,-0.6481648045303322,-0.5827103143435617,0.7705768858114695,0.770668836332622,-0.4422870197818096,0.5408225469825958,-0.8312645157625331,0.7284046854739074,-0.5745221018380267,0.5284871737387549,-0.030963740475079844,-0.5695783880358778,-0.6849068500987352,0.8739400926538872,-0.6912046548698926,-0.4708312276145918,-0.6124802062030298,-0.23346453389333832,0.6630329495140572,-0.5757470789869834,-0.4336062308364005,0.39108856006709036,-0.9492026664586771,-0.30366041576390806,-0.35062106461529247,-0.08632980075163361,-0.7245723150497125,-0.6481048147239353,0.4447827158898905,-0.9412215291159705,0.6155915445690252,-0.48661478166637845,0.5300514521478356,0.4287841700260026,-0.8187549443093833,0.6524147510078095,-0.7540838517897207,0.12245469773533918,-0.26509083211901674,0.14990534606970143,0.7749684640987964
"XM_008378862,1",-0.7390284499689826,0.10904420915555897,-0.8588379931319329,-0.745776520491387,1.0,-0.22288901551712845,0.5658748025710777,0.920525201321739,-0.24671372822169885,0.47357422554603784,-0.8017019720151419,0.27284921852030586,-0.31901278727658117,-0.433889186182615,0.5482358471994331,0.274991282617818,0.836774984727478,0.7041006489497535,0.18885957726084565,-0.662066372825061,-0.14146825832534837,0.23823263276083814,0.2837101556374567,0.3745196951059535,0.22710270762121693,0.8405031840616142,-0.37157021770270565,0.8145919040902992,-0.16843298107858087,-0.8863464603091493,-0.8238535646625009,-0.5024074307595696,-0.6508317902441954,-0.45327319496425195,0.17294074263865586,-0.6747921007265427,0.45270177225995806,-0.6910338234932438,-0.6328957018406334,-0.844309422913534,-0.5946092537617359,-0.004595679610149104,-0.16169814886892095,-0.520284561414274,0.13755092557300538,0.8800776077131556,0.8850021937503586,-0.49982992700660206,0.3264449178719686,-0.9041442526887983,0.8338459540708869,0.012512578149378914,0.9201939449816885,0.5031267002275266,-0.9394661272988855,-0.7137089590632443,0.49172285337919514,-0.41667740867987024,0.8636256397540678,-0.5761301143311113,0.5887133095553471,-0.5032523562777901,-0.1770025226200706,-0.026931540981499823,0.8097659507561548,-0.4347818993869827,0.5868971537951676,0.7983780434969779,0.7387514295222578,-0.16549467814169497,-0.2965528356426995,0.1770287197358993,0.6647120171885157,-0.8588379931319332,0.8425267942120503,0.5107679965477963,0.856623966673587,-0.06302092672178417,0.7700789385961087,0.7939239841642592,-0.8272140772526668,0.7052680918539777,-0.6756143240883099,0.8266030588462835,-0.6505532880018934,-0.8472802784553861,0.9001840306829774,-0.6859694923352084,0.9777821666939754,-0.07414270602846541,0.5300537263313781,-0.049362053693622766,-0.26944266855959226
"XM_008381409,1",0.7739033025516078,-0.10967412249863542,-0.1296065484330277,0.7207012640453162,-0.22288901551712845,1.0,-0.5039499806224887,-0.3946877767149427,0.16683537647498278,-0.30719397937497395,0.439719529282691,0.362539704838459,0.6787243222788272,-0.20583304664527405,-0.04597375913512806,-0.2416642945828256,-0.059932485547594644,-0.5270968622816536,-0.7397777268708409,-0.05711057096628414,0.0939987787629174,-0.6891598368248533,-0.33092281735089746,-0.5460298768405543,0.45015502055996576,-0.49525681556942625,0.9244463453736528,-0.10036647500395342,0.002902154657635435,0.4836942229756326,0.7038285574313445,0.4708767492137406,0.45471740190395454,0.5756033902352905,0.7912101828821714,-0.3334009725988556,-0.6985541851064682,0.3416752855817074,0.6724267551875648,0.435960268392467,-0.26267991150055275,-0.30605835404785786,0.010509935131460977,0.5675867140377073,-0.20328819456168815,0.05109241301913726,-0.3967344205918073,0.0507673845763774,0.058190349759886156,0.3786376714165861,-0.5940789742553488,-0.26564198118380233,-0.02917801330349252,-0.5153203908915552,0.19652234788376063,0.4800638306664657,-0.18276011885634721,0.26680574477203495,-0.3963282560813197,0.4629957621235605,-0.21393704718451942,0.4313937124314684,0.2729529785626146,-0.5855732731951656,-0.09323158859778624,0.9005748138623871,-0.6012131827541399,-0.13329608060326503,0.04326533235681826,-0.13340902689591697,0.9668356951559879,-0.6488784258851698,0.20181539606063023,-0.12960654843302816,-0.5997747235432773,-0.004856317590324063,0.25100299670927795,-0.004109388030458026,-0.41684129003590586,-0.18647385253385235,-0.10348077801696061,-0.6724374424236589,0.4159334291284289,0.03645180861773875,0.3371107839046941,0.04950606924233623,-0.22998405822908444,0.44250087809746147,-0.1471236645996149,0.1744894125669622,0.3109662973208614,0.341399057946429,0.6436459981870758
"XM_008372268,1",-0.6047487070085511,0.6203663783615982,-0.4682432820584427,-0.5840988817720449,0.5658748025710777,-0.5039499806224887,1.0,0.5214917842838073,0.44160860810693014,-0.036927319864024706,-0.5295654937535198,-0.5923913548149952,-0.28495585742939455,-0.41208808886503584,0.6328941461181181,0.7549937792685011,0.38726233452511544,0.6576968523552118,0.14721652185693748,-0.7920102181401057,-0.14293253318738336,-0.114240489622035,-0.0081778621794036,0.3132515853686746,-0.6368641804612198,0.5553889715222264,-0.5211162407887718,0.22891184279310375,0.5532329384521977,-0.6207927564116288,-0.6555252989344855,-0.2781688631100519,-0.3702036241976835,-0.1281709828003394,0.07238121435095703,-0.0075088050612075,0.07807107228488114,-0.33460597258477087,-0.37963228520871056,-0.5268817158703811,0.008612212442668181,0.20137622737953564,-0.48302480000695047,-0.691679222031757,0.14015929406388994,0.3135873748266154,0.7435845759248267,-0.29159263819387,0.5650244701989069,-0.5393642700880217,0.6288687554290524,-0.24978910175468172,0.41185902860769613,0.560839841764708,-0.6429701950858585,-0.47015247885472583,0.6805624874416357,-0.27859902226497524,0.46448187320600104,-0.361867167665015,0.17795824144264508,0.10299293633544958,-0.6173986507654974,-0.12625711090008,0.32399058228443356,-0.6249047297347783,0.9523619709303075,0.7664647083478956,0.16155601943199616,-0.4604717945526388,-0.5741154895660986,0.2568123231520574,0.18073606782540586,-0.46824328205844273,0.7202112954028251,0.23820471384576566,0.2586426210482278,-0.2577675819287409,0.8359679091342858,0.13761705689846473,-0.06950036551874407,0.5411136780369578,-0.3143625004922296,0.30374848263033744,-0.39322799274681686,-0.39271117395352645,0.5313527019764585,-0.8211068159161933,0.49146738956609753,0.5754817659280839,-0.0511940139861568,0.37709051296944485,-0.1310116023044518
"XM_008357852,1",-0.8828270072958603,-0.1436753290339897,-0.7830271501601505,-0.8562555779770028,0.920525201321739,-0.3946877767149427,0.5214917842838073,1.0,-0.41231273536106366,0.7091806851878371,-0.9495860556266511,0.21064710904528897,-0.46634251747589,-0.08427120137592128,0.5689000043936911,0.11902949476227043,0.9167921476437239,0.5588965223374467,0.5334437236809597,-0.5297722507252229,0.18063352189623127,0.44936717360488504,0.588068383620164,0.5554572357251476,0.22705467641635918,0.9816471302386347,-0.6223133951783306,0.7451520798547491,-0.09600391259042201,-0.9875527301995018,-0.8524554469819458,-0.7924720530974709,-0.7854250792210382,-0.7444879530208728,-0.06273734890272323,-0.4069679013051957,0.49637365213770485,-0.9057533416462592,-0.8437130424685253,-0.6971144716250105,-0.695722834826665,-0.09954868523320157,0.1473194851747106,-0.37113117394502715,0.12904317227910422,0.6589018515978295,0.9219581434048282,-0.5350442717217635,0.0158423199265984,-0.992793430257473,0.9607019585129409,0.3552662118907486,0.7607444467182276,0.30905462806854134,-0.9265758241938192,-0.9202706864387443,0.6373360519569332,-0.7091519455672805,0.9905052375549622,-0.8452505237699306,0.8246166098870888,-0.6340979181690919,-0.06736484365567123,0.2844226671432574,0.9203082449758717,-0.6597560319414085,0.5138147705866396,0.5532706549482187,0.6389484738590147,0.16428162252667247,-0.4106093654144188,0.5355865342168763,0.7567118770146151,-0.7830271501601503,0.9355168666126839,0.686041370709997,0.6312008053923835,0.2789840494900491,0.6203480435219597,0.9052434011714702,-0.801078933730209,0.9053724649543605,-0.8471731084839911,0.8672171892251545,-0.8109068735828663,-0.600810397516439,0.8370257009443289,-0.5046621590078092,0.9051483826052149,-0.1744305147916786,0.29775982097432674,-0.24275011061298815,-0.4131861139104105
"XM_008347563,1",0.3435487820568397,0.8459638060481399,0.20000159999520006,0.2456782985051253,-0.24671372822169885,0.16683537647498278,0.44160860810693014,-0.41231273536106366,1.0,-0.8632541870708763,0.45595079603290556,-0.5635374793953304,0.5841084181834256,-0.5470589515295182,0.3976308722566423,0.7948638166398427,-0.30985727224697124,-0.11043976588889608,-0.5046905641820825,-0.35592343086432704,-0.20749243304638226,-0.8148818891230608,-0.7463394113128354,-0.5822089639815222,-0.6000007999936,-0.38283244362246155,0.3104913784793708,-0.5986390783550908,0.6386777614126667,0.3371254221689212,0.20861013703797032,0.5747903072100403,0.6290944688003491,0.7392043352388852,0.32843866055239057,0.1502354753954161,-0.6099819507184572,0.5449794026437605,0.4337692560416306,0.27066156892990634,0.4032109944402534,-0.13717898408752616,-0.7428154993077444,-0.34009905952338115,-0.3921565531978696,-0.15362144286995583,-0.03533704184345367,0.4404544706895257,0.7276130015320587,0.3431788884854531,-0.30070503558030653,-0.7628770386757975,-0.10402368242173515,0.23338030447616065,0.08818699899479487,0.4823153897318107,0.1091042791300517,0.3776186388456528,-0.47589976390012045,0.49057571310659603,-0.610467754245715,0.925113969403725,-0.22918576495705198,-0.40633906000734127,-0.39310919132818456,0.1661577887191417,0.4221001202487318,0.2905032210821394,-0.13100538539948142,-0.5265637998429608,0.1719585886060515,-0.43407653575940075,-0.2943218274524269,0.20000159999520004,-0.1698654452689847,-0.45039871153891986,-0.1626368014767107,-0.5334624129073444,0.3128152165371249,-0.7185149609849257,0.6241077030755849,-0.36680125164889504,0.6731413356799235,-0.46292995248838825,0.5515438405836066,0.17847158559590823,-0.05769305754386882,-0.36399733430067915,-0.21515836413518996,0.93494871904905,-3.1622713356975055e-06,0.9278715656696563,0.2000015999952001
"XM_008395865,1",-0.6151413264975325,-0.7677632158157766,-0.49139023149838895,-0.4862340972804292,0.47357422554603784,-0.30719397937497395,-0.036927319864024706,0.7091806851878371,-0.8632541870708763,1.0,-0.8092320814768037,0.279507088810625,-0.6958968509059985,0.5670045721009617,-0.0008587582422615872,-0.5805391092882329,0.6356603924862195,0.21553901064009304,0.6905626915144857,-0.03652723759190726,0.4684600385391181,0.7364856627289138,0.9526926680925856,0.7928002234527043,0.3801976556142185,0.7229109808769953,-0.5730700845718262,0.6773213674456153,-0.24140557883156466,-0.683299545536495,-0.4212765657271316,-0.8951317866690996,-0.8686071364520419,-0.9334265696069264,-0.23806373250915033,-0.028255977365503015,0.4825887526001091,-0.8754642384702738,-0.6645115373919923,-0.3305002806562726,-0.6125715682307084,0.07248649330578606,0.766740137219526,0.25441634838688415,0.4213533887058243,0.17423272362521394,0.41581694207042463,-0.6691546958869927,-0.6735417309750257,-0.6627893683168496,0.6349121589847356,0.8726228245918065,0.21656615541704272,-0.25175044722629814,-0.43059119193350875,-0.8398827867010636,0.40339852923283387,-0.7641447190649187,0.7837112098053042,-0.8440813866283889,0.9086364597512756,-0.8764776278471209,0.04345700989992925,0.43270994689552245,0.6992214752226129,-0.4730491183940375,-0.10999992372601539,-0.08812805686684978,0.16531122634519388,0.5224978034398143,-0.31478569385745037,0.7337532914127057,0.590679882499022,-0.4913902314983887,0.5222372925995429,0.7964896847984172,0.21604925314225326,0.7201152080665728,-0.07714858219369428,0.8867813994269985,-0.7160669856645504,0.6889776820851027,-0.9283403326261347,0.7389133469206338,-0.8694481368589226,-0.19075360189524382,0.26555364478851873,0.18056578051939634,0.42606834297340423,-0.6417111448351057,-0.14200400692482404,-0.7921712240294273,-0.2020990544121678
