protein,protein_id,gene,db_xref,gene_ref
uncharacterized protein LOC103440529,XP_008377446.1,LOC103440529,103440529,XM_008379224
"DNA gyrase subunit A, chloroplastic/mitochondrial-like",XP_008344542.1,LOC103407388,103407388,XM_008346320
LOW QUALITY PROTEIN: protein NETWORKED 1A-like,XP_008351253.1,LOC103414670,103414670,XM_008353031
GPI mannosyltransferase 2-like isoform X4,XP_008387841.1,LOC103450281,103450281,XM_008389619
probable glutathione S-transferase,XP_008390719.1,LOC103452974,103452974,XM_008392497
receptor-like protein kinase 5,XP_008390801.1,LOC103453042,103453042,XM_008392579
UDP-glycosyltransferase 91C1-like,XP_008388229.1,LOC103450637,103450637,XM_008390007
CASP-like protein 5A2,XP_008359277.1,LOC103422988,103422988,XM_008361055
"phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic/mitochondrial-like",XP_008378571.1,LOC103441658,103441658,XM_008380349
coatomer subunit alpha-1-like,XP_008346150.1,LOC103409111,103409111,XM_008347928
uncharacterized protein LOC103409405,XP_008346448.1,LOC103409405,103409405,XM_008348226
uncharacterized PE-PGRS family protein PE_PGRS54-like,XP_008349883.1,LOC103413173,103413173,XM_008351661
nephrocystin-3 isoform X2,XP_008381186.1,LOC103444048,103444048,XM_008382964
probable receptor-like protein kinase At1g49730 isoform X1,XP_008355257.2,LOC103418921,103418921,XM_008357035
cysteine-rich and transmembrane domain-containing protein WIH2-like,XP_008356299.1,LOC103420000,103420000,XM_008358077
BAG family molecular chaperone regulator 2-like,XP_008371808.1,LOC103435187,103435187,XM_008373586
uncharacterized protein LOC103409440 isoform X2,XP_008346478.2,LOC103409440,103409440,XM_008348256
protein FLX-like 1 isoform X3,XP_008368403.2,LOC103431991,103431991,XM_008370181
RNA-binding protein 25-like isoform X2,XP_008389634.1,LOC103451960,103451960,XM_008391412
"pentatricopeptide repeat-containing protein At4g19191, mitochondrial",XP_008342860.2,LOC103405623,103405623,XM_008344638
