protein,protein_id,gene,db_xref,gene_ref
GID1b,AFD32891.1,GID1b,None,JN381497
TMV resistance protein N-like isoform X1,XP_008339866.1,LOC103402867,103402867,XM_008341644
uncharacterized protein LOC103414488,XP_008351086.1,LOC103414488,103414488,XM_008352864
uncharacterized protein LOC103446483 isoform X1,XP_008383840.1,LOC103446483,103446483,XM_008385618
uncharacterized protein LOC103409405,XP_008346448.1,LOC103409405,103409405,XM_008348226
LOW QUALITY PROTEIN: solute carrier family 25 member 44-like,XP_008351199.1,LOC103414612,103414612,XM_008352977
nuclear transcription factor Y subunit B-1-like,XP_008362436.1,LOC103426125,103426125,XM_008364214
nephrocystin-3 isoform X2,XP_008381186.1,LOC103444048,103444048,XM_008382964
protein IQ-DOMAIN 1-like,XP_008355253.2,LOC103418918,103418918,XM_008357031
"putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial",XP_008363958.2,LOC103427668,103427668,XM_008365736
cysteine-rich and transmembrane domain-containing protein WIH2-like,XP_008356299.1,LOC103420000,103420000,XM_008358077
luminal-binding protein 5-like,XP_008337565.2,LOC103400676,103400676,XM_008339343
ubiquitin-conjugating enzyme E2 2,XP_008346764.1,LOC103409746,103409746,XM_008348542
retinoblastoma-related protein,XP_008375342.1,LOC103438592,103438592,XM_008377120
retinoblastoma-related protein,XP_008375344.1,LOC103438592,103438592,XM_008377122
"50S ribosomal protein L6, chloroplastic-like",XP_008379631.1,LOC103442604,103442604,XM_008381409
protein FLX-like 1 isoform X3,XP_008368403.2,LOC103431991,103431991,XM_008370181
probable E3 ubiquitin-protein ligase ARI8,XP_008388828.1,LOC103451168,103451168,XM_008390606
uncharacterized protein LOC103455833 isoform X2,XP_008393651.2,LOC103455833,103455833,XM_008395429
LOW QUALITY PROTEIN: uncharacterized protein LOC103401535,XP_008338471.2,LOC103401535,103401535,XM_008340249
