protein,protein_id,gene,db_xref,gene_ref
GID1b,AFD32891.1,GID1b,None,JN381497
60S ribosomal protein L30,XP_008357540.1,LOC103421291,103421291,XM_008359318
LOW QUALITY PROTEIN: tonoplast dicarboxylate transporter-like,XP_008366113.1,LOC103429760,103429760,XM_008367891
VIN3-like protein 2 isoform X3,XP_008391629.1,LOC103453826,103453826,XM_008393407
probable glutathione S-transferase,XP_008390719.1,LOC103452974,103452974,XM_008392497
uncharacterized protein LOC103404380,XP_008341503.1,LOC103404380,103404380,XM_008343281
CASP-like protein 5A2,XP_008359277.1,LOC103422988,103422988,XM_008361055
uncharacterized protein LOC103443964,XP_008381084.1,LOC103443964,103443964,XM_008382862
LOB domain-containing protein 37-like,XP_008344349.1,LOC103407174,103407174,XM_008346127
coatomer subunit alpha-1-like,XP_008346150.1,LOC103409111,103409111,XM_008347928
LOW QUALITY PROTEIN: solute carrier family 25 member 44-like,XP_008351199.1,LOC103414612,103414612,XM_008352977
dual specificity tyrosine-phosphorylation-regulated kinase 2-like isoform X2,XP_008374044.2,LOC103437351,103437351,XM_008375822
protein IQ-DOMAIN 1-like,XP_008355253.2,LOC103418918,103418918,XM_008357031
ubiquitin-conjugating enzyme E2 2,XP_008346764.1,LOC103409746,103409746,XM_008348542
retinoblastoma-related protein,XP_008375342.1,LOC103438592,103438592,XM_008377120
retinoblastoma-related protein,XP_008375344.1,LOC103438592,103438592,XM_008377122
"long chain acyl-CoA synthetase 6, peroxisomal",XP_008390867.2,LOC103453103,103453103,XM_008392645
aspartic proteinase-like,XP_008390340.1,LOC103452605,103452605,XM_008392118
LOW QUALITY PROTEIN: uncharacterized protein LOC103401535,XP_008338471.2,LOC103401535,103401535,XM_008340249
"pentatricopeptide repeat-containing protein At4g19191, mitochondrial",XP_008342860.2,LOC103405623,103405623,XM_008344638
