protein,protein_id,gene,db_xref,gene_ref
uncharacterized protein LOC103440195 isoform X1,XP_008377084.1,LOC103440195,103440195,XM_008378862
uncharacterized protein LOC103403271,XP_008340314.1,LOC103403271,103403271,XM_008342092
cytochrome P450 734A1-like,XP_008347426.1,LOC103410510,103410510,XM_008349204
LOW QUALITY PROTEIN: protein NETWORKED 1A-like,XP_008351253.1,LOC103414670,103414670,XM_008353031
serine hydroxymethyltransferase 7-like,XP_008356074.1,LOC103419759,103419759,XM_008357852
60S ribosomal protein L30,XP_008357540.1,LOC103421291,103421291,XM_008359318
VIN3-like protein 2 isoform X3,XP_008391629.1,LOC103453826,103453826,XM_008393407
probable glutathione S-transferase,XP_008390719.1,LOC103452974,103452974,XM_008392497
uncharacterized protein LOC103404380,XP_008341503.1,LOC103404380,103404380,XM_008343281
coatomer subunit alpha-1-like,XP_008346150.1,LOC103409111,103409111,XM_008347928
uncharacterized PE-PGRS family protein PE_PGRS54-like,XP_008349883.1,LOC103413173,103413173,XM_008351661
"50S ribosomal protein L24, chloroplastic-like",XP_008349952.1,LOC103413250,103413250,XM_008351730
pre-mRNA-processing protein 40C-like,XP_008350971.1,LOC103414356,103414356,XM_008352749
uncharacterized protein LOC103432208,XP_008368605.1,LOC103432208,103432208,XM_008370383
serine/arginine repetitive matrix protein 1-like,XP_008370081.2,LOC103433594,103433594,XM_008371859
cysteine-rich and transmembrane domain-containing protein WIH2-like,XP_008356299.1,LOC103420000,103420000,XM_008358077
BAG family molecular chaperone regulator 2-like,XP_008371808.1,LOC103435187,103435187,XM_008373586
"long chain acyl-CoA synthetase 6, peroxisomal",XP_008390867.2,LOC103453103,103453103,XM_008392645
uncharacterized protein LOC103455833 isoform X2,XP_008393651.2,LOC103455833,103455833,XM_008395429
pentatricopeptide repeat-containing protein At2g37230-like,XP_008338950.1,LOC103401990,103401990,XM_008340728
