protein,protein_id,gene,db_xref,gene_ref
"DNA gyrase subunit A, chloroplastic/mitochondrial-like",XP_008344542.1,LOC103407388,103407388,XM_008346320
uncharacterized protein LOC103414488,XP_008351086.1,LOC103414488,103414488,XM_008352864
LOW QUALITY PROTEIN: protein NETWORKED 1A-like,XP_008351253.1,LOC103414670,103414670,XM_008353031
serine hydroxymethyltransferase 7-like,XP_008356074.1,LOC103419759,103419759,XM_008357852
uncharacterized protein LOC103446483 isoform X1,XP_008383840.1,LOC103446483,103446483,XM_008385618
VIN3-like protein 2 isoform X3,XP_008391629.1,LOC103453826,103453826,XM_008393407
LOB domain-containing protein 37-like,XP_008344349.1,LOC103407174,103407174,XM_008346127
coatomer subunit alpha-1-like,XP_008346150.1,LOC103409111,103409111,XM_008347928
"50S ribosomal protein L24, chloroplastic-like",XP_008349952.1,LOC103413250,103413250,XM_008351730
hypersensitive-induced response protein 1,XP_008364623.2,LOC103428302,103428302,XM_008366401
uncharacterized protein LOC103432208,XP_008368605.1,LOC103432208,103432208,XM_008370383
nephrocystin-3 isoform X2,XP_008381186.1,LOC103444048,103444048,XM_008382964
protein IQ-DOMAIN 1-like,XP_008355253.2,LOC103418918,103418918,XM_008357031
probable receptor-like protein kinase At1g49730 isoform X1,XP_008355257.2,LOC103418921,103418921,XM_008357035
"putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial",XP_008363958.2,LOC103427668,103427668,XM_008365736
BAG family molecular chaperone regulator 2-like,XP_008371808.1,LOC103435187,103435187,XM_008373586
luminal-binding protein 5-like,XP_008337565.2,LOC103400676,103400676,XM_008339343
retinoblastoma-related protein,XP_008375342.1,LOC103438592,103438592,XM_008377120
retinoblastoma-related protein,XP_008375344.1,LOC103438592,103438592,XM_008377122
probable E3 ubiquitin-protein ligase ARI8,XP_008388828.1,LOC103451168,103451168,XM_008390606
